entity_id,state,last_changed
sensor.geschirrspuler_current_consumption,1574.2,2025-09-30T10:06:51.002Z
sensor.geschirrspuler_current_consumption,1577.8,2025-09-30T10:06:56.014Z
sensor.geschirrspuler_current_consumption,1578.3,2025-09-30T10:07:01.001Z
sensor.geschirrspuler_current_consumption,1578.2,2025-09-30T10:07:06.012Z
sensor.geschirrspuler_current_consumption,1563.7,2025-09-30T10:07:11.000Z
sensor.geschirrspuler_current_consumption,1562.3,2025-09-30T10:07:16.006Z
sensor.geschirrspuler_current_consumption,1563.7,2025-09-30T10:07:21.013Z
sensor.geschirrspuler_current_consumption,1565.3,2025-09-30T10:07:26.000Z
sensor.geschirrspuler_current_consumption,1561.8,2025-09-30T10:07:31.006Z
sensor.geschirrspuler_current_consumption,1562.9,2025-09-30T10:07:36.015Z
sensor.geschirrspuler_current_consumption,1563.6,2025-09-30T10:07:40.999Z
sensor.geschirrspuler_current_consumption,1562.2,2025-09-30T10:07:46.005Z
sensor.geschirrspuler_current_consumption,1561.9,2025-09-30T10:07:51.012Z
sensor.geschirrspuler_current_consumption,1562.4,2025-09-30T10:07:56.007Z
sensor.geschirrspuler_current_consumption,1563.2,2025-09-30T10:08:01.007Z
sensor.geschirrspuler_current_consumption,1562.2,2025-09-30T10:08:06.019Z
sensor.geschirrspuler_current_consumption,1562.1,2025-09-30T10:08:10.999Z
sensor.geschirrspuler_current_consumption,1562.3,2025-09-30T10:08:16.008Z
sensor.geschirrspuler_current_consumption,1572.9,2025-09-30T10:08:21.015Z
sensor.geschirrspuler_current_consumption,1578.4,2025-09-30T10:08:25.999Z
sensor.geschirrspuler_current_consumption,1577.8,2025-09-30T10:08:31.006Z
sensor.geschirrspuler_current_consumption,1580.5,2025-09-30T10:08:36.020Z
sensor.geschirrspuler_current_consumption,1581.6,2025-09-30T10:08:40.999Z
sensor.geschirrspuler_current_consumption,1580.1,2025-09-30T10:08:51.012Z
sensor.geschirrspuler_current_consumption,1579.2,2025-09-30T10:08:56.000Z
sensor.geschirrspuler_current_consumption,1579.9,2025-09-30T10:09:01.007Z
sensor.geschirrspuler_current_consumption,1579.6,2025-09-30T10:09:06.013Z
sensor.geschirrspuler_current_consumption,1579.5,2025-09-30T10:09:11.000Z
sensor.geschirrspuler_current_consumption,1580.0,2025-09-30T10:09:16.007Z
sensor.geschirrspuler_current_consumption,1568.6,2025-09-30T10:09:21.020Z
sensor.geschirrspuler_current_consumption,1563.9,2025-09-30T10:09:26.001Z
sensor.geschirrspuler_current_consumption,1562.9,2025-09-30T10:09:31.011Z
sensor.geschirrspuler_current_consumption,1565.8,2025-09-30T10:09:36.017Z
sensor.geschirrspuler_current_consumption,1565.1,2025-09-30T10:09:41.002Z
sensor.geschirrspuler_current_consumption,1564.8,2025-09-30T10:09:46.008Z
sensor.geschirrspuler_current_consumption,1561.8,2025-09-30T10:09:51.017Z
sensor.geschirrspuler_current_consumption,1563.6,2025-09-30T10:09:56.000Z
sensor.geschirrspuler_current_consumption,1564.9,2025-09-30T10:10:06.013Z
sensor.geschirrspuler_current_consumption,1564.0,2025-09-30T10:10:11.004Z
sensor.geschirrspuler_current_consumption,1565.7,2025-09-30T10:10:16.010Z
sensor.geschirrspuler_current_consumption,1564.5,2025-09-30T10:10:20.998Z
sensor.geschirrspuler_current_consumption,1565.7,2025-09-30T10:10:26.007Z
sensor.geschirrspuler_current_consumption,1565.5,2025-09-30T10:10:31.019Z
sensor.geschirrspuler_current_consumption,1583.1,2025-09-30T10:10:35.999Z
sensor.geschirrspuler_current_consumption,1582.7,2025-09-30T10:10:41.007Z
sensor.geschirrspuler_current_consumption,1582.3,2025-09-30T10:10:46.012Z
sensor.geschirrspuler_current_consumption,1582.7,2025-09-30T10:10:50.999Z
sensor.geschirrspuler_current_consumption,1582.1,2025-09-30T10:10:56.006Z
sensor.geschirrspuler_current_consumption,1582.7,2025-09-30T10:11:01.013Z
sensor.geschirrspuler_current_consumption,1580.3,2025-09-30T10:11:05.999Z
sensor.geschirrspuler_current_consumption,1578.0,2025-09-30T10:11:11.006Z
sensor.geschirrspuler_current_consumption,1579.8,2025-09-30T10:11:16.013Z
sensor.geschirrspuler_current_consumption,1580.3,2025-09-30T10:11:21.000Z
sensor.geschirrspuler_current_consumption,1579.6,2025-09-30T10:11:26.006Z
sensor.geschirrspuler_current_consumption,1580.0,2025-09-30T10:11:31.006Z
sensor.geschirrspuler_current_consumption,1564.5,2025-09-30T10:11:36.015Z
sensor.geschirrspuler_current_consumption,1562.8,2025-09-30T10:11:41.000Z
sensor.geschirrspuler_current_consumption,1563.1,2025-09-30T10:11:46.009Z
sensor.geschirrspuler_current_consumption,1569.1,2025-09-30T10:11:51.014Z
sensor.geschirrspuler_current_consumption,1564.9,2025-09-30T10:11:55.999Z
sensor.geschirrspuler_current_consumption,1563.9,2025-09-30T10:12:01.006Z
sensor.geschirrspuler_current_consumption,1564.5,2025-09-30T10:12:06.014Z
sensor.geschirrspuler_current_consumption,1565.3,2025-09-30T10:12:11.000Z
sensor.geschirrspuler_current_consumption,1566.0,2025-09-30T10:12:16.023Z
sensor.geschirrspuler_current_consumption,1565.3,2025-09-30T10:12:26.000Z
sensor.geschirrspuler_current_consumption,1566.2,2025-09-30T10:12:31.006Z
sensor.geschirrspuler_current_consumption,1564.9,2025-09-30T10:12:36.014Z
sensor.geschirrspuler_current_consumption,1568.1,2025-09-30T10:12:46.013Z
sensor.geschirrspuler_current_consumption,1582.6,2025-09-30T10:12:51.015Z
sensor.geschirrspuler_current_consumption,1583.2,2025-09-30T10:12:55.999Z
sensor.geschirrspuler_current_consumption,1581.6,2025-09-30T10:13:01.006Z
sensor.geschirrspuler_current_consumption,1582.8,2025-09-30T10:13:06.015Z
sensor.geschirrspuler_current_consumption,1581.3,2025-09-30T10:13:11.002Z
sensor.geschirrspuler_current_consumption,1580.2,2025-09-30T10:13:16.007Z
sensor.geschirrspuler_current_consumption,1580.7,2025-09-30T10:13:21.016Z
sensor.geschirrspuler_current_consumption,1580.4,2025-09-30T10:13:26.002Z
sensor.geschirrspuler_current_consumption,1579.9,2025-09-30T10:13:31.010Z
sensor.geschirrspuler_current_consumption,1579.8,2025-09-30T10:13:36.017Z
sensor.geschirrspuler_current_consumption,1580.5,2025-09-30T10:13:41.005Z
sensor.geschirrspuler_current_consumption,1581.3,2025-09-30T10:13:46.008Z
sensor.geschirrspuler_current_consumption,1567.4,2025-09-30T10:13:51.014Z
sensor.geschirrspuler_current_consumption,1562.1,2025-09-30T10:13:55.999Z
sensor.geschirrspuler_current_consumption,1565.1,2025-09-30T10:14:06.014Z
sensor.geschirrspuler_current_consumption,1563.8,2025-09-30T10:14:11.004Z
